Increments,Abscissas in mm,Ordinates in mm,Grey values
974,9.839,4.366,29501
975,9.843,4.372,30180
976,9.847,4.379,31786
977,9.851,4.385,33959
978,9.855,4.392,35267
979,9.859,4.398,38171
980,9.863,4.405,39754
981,9.867,4.411,43134
982,9.871,4.418,46619
983,9.875,4.424,48262
984,9.879,4.431,51372
985,9.883,4.437,52629
986,9.887,4.444,54684
987,9.891,4.450,55885
988,9.895,4.457,56125
989,9.898,4.463,56311
990,9.902,4.470,56101
991,9.906,4.476,55393
992,9.910,4.483,53926
993,9.914,4.489,52710
994,9.917,4.496,50051
995,9.921,4.503,48320
996,9.925,4.509,45079
997,9.929,4.516,43301
998,9.932,4.522,40279
999,9.936,4.529,37623
1000,9.940,4.535,36433
1001,9.943,4.542,34453
1002,9.947,4.548,33683
1003,9.951,4.555,32361
1004,9.954,4.561,31988
1005,9.958,4.568,31283
1006,9.961,4.574,31247
1007,9.965,4.581,31015
1008,9.968,4.587,31010
1009,9.972,4.594,31346
1010,9.975,4.600,31751
1011,9.979,4.607,32376
1012,9.982,4.613,33355
1013,9.986,4.620,34345
1014,9.989,4.626,35941
1015,9.993,4.633,37267
1016,9.996,4.639,39395
1017,10.000,4.646,40938
1018,10.003,4.652,43423
1019,10.006,4.659,44934
1020,10.010,4.665,47445
1021,10.013,4.672,48603
1022,10.016,4.678,50730
1023,10.020,4.685,51335
1024,10.023,4.691,52816
1025,10.026,4.698,52866
1026,10.030,4.704,53704
1027,10.033,4.711,53347
1028,10.036,4.717,53781
1029,10.039,4.724,53250
1030,10.042,4.730,53555
1031,10.046,4.737,53073
1032,10.049,4.743,53424
1033,10.052,4.750,53140
1034,10.055,4.756,53567
1035,10.058,4.763,53503
1036,10.061,4.769,53924
1037,10.064,4.776,54012
1038,10.068,4.782,54347
1039,10.071,4.789,54506
1040,10.074,4.795,54711
1041,10.077,4.802,54864
1042,10.080,4.808,54905
1043,10.083,4.815,54992
1044,10.086,4.821,54813
1045,10.089,4.828,54747
1046,10.092,4.834,54197
1047,10.095,4.841,53811
1048,10.098,4.847,53237
1049,10.101,4.854,51746
1050,10.104,4.860,50646
1051,10.106,4.867,48484
1052,10.109,4.873,46997
1053,10.112,4.880,44496
1054,10.115,4.886,42894
1055,10.118,4.893,40443
1056,10.121,4.899,39001
1057,10.124,4.906,37704
1058,10.126,4.912,35909
1059,10.129,4.919,35069
1060,10.132,4.925,33988
